0.00,0.00,1.57
0.00,0.01,1.47
0.00,0.02,1.37
0.01,0.03,1.27
0.01,0.04,1.17
0.01,0.05,1.08
0.02,0.06,0.98
0.03,0.06,0.88
0.03,0.07,0.78
0.04,0.08,0.69
0.05,0.08,0.59
0.06,0.09,0.49
0.07,0.09,0.40
0.08,0.09,0.31
0.09,0.10,0.22
0.10,0.10,0.13
0.11,0.10,0.05
0.12,0.10,-0.01
0.13,0.10,-0.11
0.14,0.09,-0.21
0.15,0.09,-0.31
0.16,0.09,-0.41
0.16,0.08,-0.51
0.17,0.08,-0.61
0.18,0.07,-0.71
0.19,0.06,-0.81
0.19,0.06,-0.71
0.20,0.05,-0.62
0.21,0.05,-0.53
0.22,0.04,-0.48
0.23,0.04,-0.48
0.24,0.03,-0.48
0.25,0.03,-0.48
0.26,0.02,-0.48
0.26,0.02,-0.48
0.27,0.01,-0.48
0.28,0.01,-0.47
0.29,0.00,-0.47
0.30,0.00,-0.38
0.31,-0.00,-0.30
0.32,-0.00,-0.22
0.33,-0.01,-0.16
0.34,-0.01,-0.12
0.35,-0.01,-0.10
0.36,-0.01,-0.10
0.37,-0.01,-0.10
0.38,-0.01,-0.10
0.39,-0.01,-0.10
0.40,-0.01,-0.10
0.41,-0.01,-0.10
0.42,-0.01,-0.10
0.43,-0.02,-0.10
0.44,-0.02,-0.10
0.45,-0.02,-0.10
0.46,-0.02,-0.10
0.47,-0.02,-0.10
0.48,-0.02,-0.10
0.49,-0.02,-0.10
0.50,-0.02,-0.10
0.51,-0.02,-0.10
0.52,-0.02,-0.10
0.53,-0.03,-0.10
0.54,-0.03,-0.10
0.55,-0.03,-0.11
0.56,-0.03,-0.11
0.57,-0.03,-0.11
0.58,-0.03,-0.11
0.59,-0.03,-0.11
0.60,-0.03,-0.11
0.61,-0.03,-0.12
0.62,-0.04,-0.12
0.63,-0.04,-0.12
0.64,-0.04,-0.12
0.65,-0.04,-0.13
0.66,-0.04,-0.13
0.67,-0.04,-0.13
0.68,-0.04,-0.14
0.69,-0.04,-0.14
0.70,-0.05,-0.14
0.71,-0.05,-0.15
0.72,-0.05,-0.15
0.73,-0.05,-0.16
0.74,-0.05,-0.17
0.75,-0.05,-0.17
0.76,-0.06,-0.18
0.77,-0.06,-0.19
0.78,-0.06,-0.19
0.79,-0.06,-0.20
0.80,-0.06,-0.21
0.81,-0.07,-0.22
0.82,-0.07,-0.23
0.82,-0.07,-0.24
0.83,-0.07,-0.25
0.84,-0.08,-0.26
0.85,-0.08,-0.27
0.86,-0.08,-0.27
0.87,-0.08,-0.28
0.88,-0.09,-0.29
0.89,-0.09,-0.29
0.90,-0.09,-0.29
0.91,-0.10,-0.28
0.92,-0.10,-0.27
0.93,-0.10,-0.26
0.94,-0.10,-0.23
0.95,-0.10,-0.21
0.96,-0.11,-0.17
0.97,-0.11,-0.13
0.98,-0.11,-0.07
0.99,-0.11,-0.02
1.00,-0.11,0.04
1.01,-0.11,0.11
1.02,-0.11,0.19
1.03,-0.10,0.26
1.04,-0.10,0.34
1.05,-0.10,0.43
1.06,-0.09,0.51
1.06,-0.08,0.60
1.07,-0.08,0.69
1.08,-0.07,0.78
1.09,-0.06,0.87
1.09,-0.06,0.77
1.10,-0.05,0.67
1.11,-0.05,0.57
1.12,-0.04,0.47
1.13,-0.04,0.46
1.14,-0.03,0.46
1.15,-0.03,0.46
1.15,-0.02,0.46
1.16,-0.02,0.46
1.17,-0.01,0.46
1.18,-0.01,0.46
1.19,-0.00,0.46
1.20,-0.00,0.36
1.21,0.00,0.27
1.22,0.00,0.17
1.23,0.00,0.07
1.24,0.00,-0.03
1.25,0.00,-0.05
1.26,0.00,-0.05
1.27,0.00,-0.05
1.28,0.00,-0.05
1.29,0.00,-0.05
1.30,0.00,-0.05
1.31,0.00,-0.00
1.32,0.00,-0.00
1.33,0.00,-0.00
1.34,0.00,-0.00
1.35,0.00,-0.00
1.36,0.00,-0.00
1.37,0.00,-0.00
1.38,0.00,-0.00
1.39,0.00,-0.00
1.40,0.00,-0.00
1.41,0.00,-0.00
1.42,0.00,-0.00
1.43,0.00,-0.00
1.44,0.00,-0.00
1.45,0.00,-0.00
1.46,0.00,-0.00
1.47,0.00,-0.00
1.48,0.00,-0.00
1.49,0.00,-0.00
1.50,0.00,-0.00
1.51,0.00,-0.00
1.52,0.00,-0.00
1.53,0.00,-0.00
1.54,0.00,-0.00
1.55,0.00,-0.00
1.56,0.00,-0.00
1.57,0.00,-0.00
1.58,0.00,-0.00
1.59,0.00,-0.00
1.60,0.00,-0.00
1.61,0.00,-0.00
1.62,0.00,-0.00
1.63,0.00,-0.00
1.64,0.00,-0.00
1.65,0.00,-0.00
1.66,0.00,-0.00
1.67,0.00,-0.00
1.68,0.00,-0.00
1.69,0.00,-0.00
1.70,0.00,-0.00
1.71,0.00,-0.00
1.72,0.00,-0.00
1.73,0.00,-0.00
1.74,0.00,-0.00
1.75,0.00,-0.00
1.76,0.00,-0.00
1.77,0.00,-0.00
1.78,0.00,-0.00
1.79,0.00,-0.00
1.80,0.00,-0.00
1.81,0.00,-0.00
1.82,0.00,-0.00
1.83,0.00,-0.00
1.84,0.00,-0.00
1.85,0.00,-0.00
1.86,0.00,-0.00
1.87,0.00,-0.00
1.88,0.00,-0.00
1.89,0.00,-0.00
1.90,0.00,-0.00
1.91,0.00,-0.00
1.92,0.00,-0.00
1.93,0.00,-0.00
1.94,0.00,-0.00
1.95,0.00,-0.00
1.96,0.00,-0.00
1.97,0.00,-0.00
1.98,0.00,-0.00
